Diff_Accel_X,Diff_Accel_Y,Diff_Accel_Z,Magnitude_Accel,Magnitude_Gyro,Diff_Mag_Gyro,Diff_Mag_Accel,Is_High_Accel,Is_High_Accel_2,Is_High_Accel_3
0.00015,0.00165,0.0001,0.981702092,0.066332496,0.034662554,0.001419164,1,1,0
0.0001,5e-05,0.0004,1.054556647,0.082462113,0.016129617,0.072854555,1,1,1
0.0001,0.0,0.0005,0.96166344,0.140356688,0.057894576,0.092893207,1,1,1
0.0002,0.00015,5e-05,0.960827106,0.122065556,0.018291132,0.000836334,0,1,0
0.0003,0.00095,0.0,0.965467942,0.100995049,0.021070507,0.004640836,1,1,0
0.00015,0.00025,0.00035,0.906175788,0.09539392,0.005601129,0.059292154,1,0,1
0.0004,0.00055,0.00055,0.991218652,0.09539392,0.0,0.085042864,1,1,1
0.0001,0.00045,0.00015,0.969633234,0.090553851,0.004840069,0.021585418,1,1,0
0.0002,0.0012,0.0,0.973049707,0.081240384,0.009313467,0.003416473,1,1,0
5e-05,0.00085,0.0002,1.004989588,0.143178211,0.061937827,0.031939881,1,1,1
0.0003,0.0008,0.00025,0.978260528,0.117046999,0.026131212,0.026729061,1,1,1
0.00035,0.00025,0.00015,0.988966586,0.112249722,0.004797278,0.010706059,1,1,0
0.0002,0.0015,0.00025,1.016288643,0.275317998,0.163068276,0.027322056,1,1,1
0.0,0.00165,0.0003,0.972279239,0.053851648,0.22146635,0.044009404,1,1,1
0.00015,0.00095,0.0001,0.988669983,0.115758369,0.061906721,0.016390744,1,1,0
0.0,0.0,5e-05,0.978919241,0.054772256,0.060986113,0.009750742,0,1,0
0.00035,0.0008,0.00015,1.0010231,0.096953597,0.042181341,0.022103859,1,1,0
0.0002,0.0006,0.0004,1.078184591,0.099498744,0.002545147,0.077161492,1,1,1
0.00125,0.0009,0.001,0.951957961,0.262297541,0.162798797,0.12622663,1,0,1
0.00025,0.00135,0.00035,0.989036102,0.144222051,0.11807549,0.03707814,1,1,1
0.0007,0.00025,0.0001,0.999324053,0.124498996,0.019723055,0.010287951,1,1,0
0.00145,0.00295,0.00065,1.044542406,0.133416641,0.008917645,0.045218353,1,1,1
0.00115,0.00185,0.0006,0.985068382,0.065574385,0.067842255,0.059474024,1,1,1
0.00055,0.00075,0.00105,0.761789621,0.323109888,0.257535503,0.223278761,1,0,1
0.00175,0.0004,0.00185,1.208505802,0.118743421,0.204366468,0.446716181,1,1,1
0.0002,0.001,0.00085,1.047087167,0.092195445,0.026547976,0.161418636,1,1,1
0.00115,0.00075,0.0,0.981627892,0.131529464,0.03933402,0.065459275,1,1,1
0.0001,0.0007,0.0001,1.015003467,0.120415946,0.011113519,0.033375575,1,1,1
0.0006,0.00105,0.00045,0.943058224,0.154272486,0.03385654,0.071945244,1,0,1
5e-05,0.00105,0.00045,1.023428292,0.137477271,0.016795215,0.080370069,1,1,1
0.00075,0.0004,0.00085,0.899953271,0.198746069,0.061268798,0.123475021,1,0,1
0.001,0.0017,0.0011,1.054114427,0.091104336,0.107641733,0.154161156,1,1,1
0.0007,0.00215,0.00075,0.888601405,0.242487113,0.151382777,0.165513022,1,0,1
0.00115,0.00145,0.00035,1.029722988,0.123693169,0.118793944,0.141121583,1,1,1
0.0027,0.0023,0.0012,0.992631746,0.078740079,0.04495309,0.037091242,1,1,1
0.0038,0.002,0.0011,0.962773806,0.140712473,0.061972394,0.02985794,1,1,1
0.0001,0.001,0.0001,0.972098217,0.118743421,0.021969052,0.009324411,1,1,0
0.0004,0.00075,5e-05,0.991946071,0.139283883,0.020540462,0.019847854,1,1,0
0.0002,0.0005,0.0,0.977982186,0.1356466,0.003637283,0.013963885,1,1,0
0.00065,0.0008,0.0002,0.981957151,0.160934769,0.02528817,0.003974965,1,1,0
0.0008,0.0011,0.00045,0.939129387,0.18493242,0.023997651,0.042827763,1,0,1
0.0007,0.00065,0.0003,0.971972893,0.108166538,0.076765882,0.032843505,1,1,1
0.0002,0.00025,0.0002,1.00507751,0.136014705,0.027848167,0.033104617,0,1,1
0.0003,0.00045,0.00025,0.975838714,0.064807407,0.071207298,0.029238796,1,1,1
0.00135,0.0012,5e-05,1.069245604,0.073484692,0.008677285,0.09340689,1,1,1
0.00165,0.00015,0.00025,0.940679681,0.133416641,0.059931948,0.128565923,1,0,1
0.0,0.00125,0.0006,1.037541234,0.073484692,0.059931948,0.096861554,1,1,1
0.00045,0.00075,0.0002,0.97009285,0.107703296,0.034218604,0.067448384,1,1,1
0.00035,0.0003,0.0001,0.969038954,0.161554944,0.053851648,0.001053896,1,1,0
0.0005,0.00025,5e-05,0.998175772,0.442379927,0.280824983,0.029136818,1,1,1
0.00085,0.0005,0.0004,0.966471102,0.203469899,0.238910028,0.031704669,1,1,1
0.0007,0.00075,0.00035,0.992687339,0.282488938,0.079019038,0.026216237,1,1,1
0.00025,0.0008,0.00015,0.945273379,0.304302481,0.021813543,0.04741396,1,0,1
0.0001,0.0002,0.0003,0.997874791,0.158429795,0.145872686,0.052601411,1,1,1
0.00075,0.00055,0.0002,0.990593125,0.195192213,0.036762418,0.007281665,1,1,0
0.0001,0.0003,0.00025,0.945706119,0.187082869,0.008109344,0.044887006,1,0,1
0.00035,0.00205,0.0001,0.962852782,0.177200451,0.009882418,0.017146662,1,1,0
0.00115,0.00095,0.0,1.010282142,0.242899156,0.065698705,0.047429361,1,1,1
5e-05,0.0003,0.00015,0.981085289,0.192093727,0.050805429,0.029196854,1,1,1
0.0021,0.00035,0.00035,0.948050986,0.213541565,0.021447838,0.033034302,1,0,1
0.0013,0.0001,0.00025,0.943542246,0.130384048,0.083157517,0.00450874,1,0,0
0.0018,0.0001,0.0003,0.96024628,0.092195445,0.038188604,0.016704033,1,1,0
